opcion_codigo,opcion_orden,opcion_nombre,opcion_nombre_corto,partido_nombre,partido_nombre_corto,partido_codigo,partido_color,distrito,categoria_nombre,partido_orden,categoria_slug,distrito_nro,categoria_prioridad,extranjeros
309B,9,Lista azul y blanco,Lista azul y blanco,MOV. ORGANIZACIÓN DEMOCRÁTICA MODE,MOV. ORGANIZACIÓN DEMOCRÁTICA MODE,309,,Buenos Aires,Gobernador y vice,53,G2,2,3,1
183,1,183 Partido Frente Somos Catamarca Lista A,183 Partido Frente Somos Catamarca Lista A,somos catamarca,somos catamarca,183,,Catamarca,Diputados Nacionales,54,DN3,3,20000,0
198,2,198 Partido Popular Lista A,198 Partido Popular Lista A,Partido popULAR,Partido popULAR,198,,Catamarca,Diputados Nacionales,55,DN3,3,20000,0
218,3,218 Partido U.C.D. Lista A,218 Partido U.C.D. Lista A,UCD,UCD,218,,Catamarca,Diputados Nacionales,56,DN3,3,20000,0
501,4,501 FTE Unid Por la gente- Lista A,501 FTE Unid Por la gente- Lista A,FRENTE UNIDOS POR LA GENTE,FRENTE UNIDOS POR LA GENTE,501,,Catamarca,Diputados Nacionales,57,DN3,3,20000,0
503,5,Lista 503 Frente de Todos Lista A,Lista 503 Frente de Todos Lista A,FRENTE DE TODOS,FRENTE DE TODOS,503,#00A8E4,Catamarca,Diputados Nacionales,58,DN3,3,20000,0
504,6,504 Consenso Fed. Lista A,504 Consenso Fed. Lista A,consenso federal,consenso federal,504,#031F73,Catamarca,Diputados Nacionales,59,DN3,3,20000,0
505,7,505 Fte De Izq y de los Trab- Unidad,505 Fte De Izq y de los Trab- Unidad,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,505,,Catamarca,Diputados Nacionales,60,DN3,3,20000,0
506,8,506 Frente Juntos P/Cam-Lista A,506 Frente Juntos P/Cam-Lista A,Frente juntos por el cambio,Frente juntos por el cambio,506,,Catamarca,Diputados Nacionales,61,DN3,3,20000,0
69,1,69 GEM Lista A,69 GEM Lista A,GEM,GEM,69,,Catamarca,Gobernador y vice,62,G3,3,20000,0
501,2,501 FTE Unid Por la gente- Lista A,501 FTE Unid Por la gente- Lista A,FRENTE UNIDOS POR LA GENTE,FRENTE UNIDOS POR LA GENTE,501,,Catamarca,Gobernador y vice,63,G3,3,20000,0
503,3,Lista 503 Frente de Todos Lista A,Lista 503 Frente de Todos Lista A,FRENTE DE TODOS,FRENTE DE TODOS,503,#00A8E4,Catamarca,Gobernador y vice,64,G3,3,20000,0
504,4,504 Consenso Fed. Lista A,504 Consenso Fed. Lista A,consenso federal,consenso federal,504,#031F73,Catamarca,Gobernador y vice,65,G3,3,20000,0
505,5,505 Fte De Izq y de los Trab- Unidad,505 Fte De Izq y de los Trab- Unidad,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,505,,Catamarca,Gobernador y vice,66,G3,3,20000,0
506,6,506 Frente Juntos P/Cam-Lista A,506 Frente Juntos P/Cam-Lista A,Frente juntos por el cambio,Frente juntos por el cambio,506,,Catamarca,Gobernador y vice,67,G3,3,20000,0
13,1,Lista 1A Unidad de la izquierda,Lista 1A Unidad de la izquierda,movimiento al socialismo,movimiento al socialismo,13,,Córdoba,Diputados Nacionales,68,DN4,4,20000,0
23,2,Lista Azul y Amarillo,Lista Azul y Amarillo,union popular,union popular,23,,Córdoba,Diputados Nacionales,69,DN4,4,20000,0
57,3,Lista 57 Compromiso Vecinal A,Lista 57 Compromiso Vecinal A,movimiento de accion vecinal,movimiento de accion vecinal,57,,Córdoba,Diputados Nacionales,70,DN4,4,20000,0
87,4,Lista 87 A La Ola Celeste,Lista 87 A La Ola Celeste,unite por la libertad y la dignidad,unite por la libertad y la dignidad,87,,Córdoba,Diputados Nacionales,71,DN4,4,20000,0
133/504,5,LISTA A- UNIDAD,LISTA A- UNIDAD,FRENTE DE IZQUIERDA Y TRABAJDORES UNIDAD,FRENTE DE IZQUIERDA Y TRABAJDORES UNIDAD,133/504,,Córdoba,Diputados Nacionales,72,DN4,4,20000,0
135/502A,6,LISTA A JUNTOS SOMOS EL CAMBIO/a JUNTOS POR CBA,LISTA A JUNTOS SOMOS EL CAMBIO/a JUNTOS POR CBA,juntos por el cambio,juntos por el cambio,502,#FFCD00,Córdoba,Diputados Nacionales,73,DN4,4,20000,0
135/502B,7,Lista B Somos Consenso y Renovación,Lista B Somos Consenso y Renovación,juntos por el cambio,juntos por el cambio,502,#FFCD00,Córdoba,Diputados Nacionales,74,DN4,4,20000,0
135/502C,8,Lista C Blanca y Roja,Lista C Blanca y Roja,juntos por el cambio,juntos por el cambio,502,#FFCD00,Córdoba,Diputados Nacionales,75,DN4,4,20000,0
136/505,9,Lista 505 “De Todos – A”,Lista 505 “De Todos – A”,frente de todos,frente de todos,505,#00A8E4,Córdoba,Diputados Nacionales,76,DN4,4,20000,0
137/506,10,consenso para el futuro,consenso para el futuro,consenso federal,consenso federal,506,#031F73,Córdoba,Diputados Nacionales,77,DN4,4,20000,0
217,11,Lista 217 Valores en Acción,Lista 217 Valores en Acción,encuentro vecinal cordoba,encuentro vecinal cordoba,217,,Córdoba,Diputados Nacionales,78,DN4,4,20000,0
501A,12,LISTA 501 A DEMOCRATA LIBERAL,LISTA 501 A DEMOCRATA LIBERAL,frente despertar,frente despertar,501,,Córdoba,Diputados Nacionales,79,DN4,4,20000,0
501B,13,LISTA 501 B LIBERTARIOS,LISTA 501 B LIBERTARIOS,frente despertar,frente despertar,501,,Córdoba,Diputados Nacionales,80,DN4,4,20000,0
503,14,Lista 503 Primero Córdoba A,Lista 503 Primero Córdoba A,hacemos por cordoba,hacemos por cordoba,503,,Córdoba,Diputados Nacionales,81,DN4,4,20000,0
216,1,VIDA FAMILIA VALORES A,VIDA FAMILIA VALORES A,CIUDADANOS A GOBERNAR,CIUDADANOS A GOBERNAR,216,,Corrientes,Diputados Nacionales,82,DN5,5,20000,0
501A,2,peronismo ortodoxo (a),peronismo ortodoxo (a),FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Corrientes,Diputados Nacionales,83,DN5,5,20000,0
501B,3,CELESTE Y BLANCA (b),CELESTE Y BLANCA (b),FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Corrientes,Diputados Nacionales,84,DN5,5,20000,0
501C,4,VAMOS TODOS  (C),VAMOS TODOS  (C),FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Corrientes,Diputados Nacionales,85,DN5,5,20000,0
501D,5,todos somos parte (D),todos somos parte (D),FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Corrientes,Diputados Nacionales,86,DN5,5,20000,0
502A,6,verde (LISTA A),verde (LISTA A),ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,502,,Corrientes,Diputados Nacionales,87,DN5,5,20000,0
502B,7,VAMOS JUNTOS (B),VAMOS JUNTOS (B),ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,502,,Corrientes,Diputados Nacionales,88,DN5,5,20000,0
502C,8,DEFENSORES DEL CAMBIO (c),DEFENSORES DEL CAMBIO (c),ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,ENCUENTRO POR CORRIENTES - ECO + JUNTOS POR EL CAMBIO,502,,Corrientes,Diputados Nacionales,89,DN5,5,20000,0
503A,9,otro rumbo (A),otro rumbo (A),CONSENSO FEDERAL,CONSENSO FEDERAL,503,#031F73,Corrientes,Diputados Nacionales,90,DN5,5,20000,0
503B,10,somos la alternativa (B),somos la alternativa (B),CONSENSO FEDERAL,CONSENSO FEDERAL,503,#031F73,Corrientes,Diputados Nacionales,91,DN5,5,20000,0
33,1,"VALORES, FAMILIA Y VIDA","VALORES, FAMILIA Y VIDA",UNIR,UNIR,33,,Chaco,Diputados Nacionales,92,DN6,6,20000,0
71,2,unidad,unidad,PARTIDO DEL OBRERO,PARTIDO DEL OBRERO,71,,Chaco,Diputados Nacionales,93,DN6,6,20000,0
156,3,a - celeste,a - celeste,ACCION CHAQUEÑA,ACCION CHAQUEÑA,156,,Chaco,Diputados Nacionales,94,DN6,6,20000,0
179,4,LISTA CELESTE Y BLANCA,LISTA CELESTE Y BLANCA,CIUDADANOS A GOBERNAR,CIUDADANOS A GOBERNAR,179,,Chaco,Diputados Nacionales,95,DN6,6,20000,0
180,5,VERDE A,VERDE A,PARTIDO PROYECTO SUR CHACO,PARTIDO PROYECTO SUR CHACO,180,,Chaco,Diputados Nacionales,96,DN6,6,20000,0
501R,6,17 DE OCTUBRE,17 DE OCTUBRE,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Diputados Nacionales,97,DN6,6,20000,0
501I,7,SIGLO XXI,SIGLO XXI,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Diputados Nacionales,98,DN6,6,20000,0
501O,8,CELESTE Y BLANCA,CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Diputados Nacionales,99,DN6,6,20000,0
501P,9,frente patriotico,frente patriotico,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Diputados Nacionales,100,DN6,6,20000,0
501F,10,sinceramente peronista,sinceramente peronista,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Diputados Nacionales,101,DN6,6,20000,0
502,11,ALIANZA ALTERNATIVA RENOVADORA FEDERAL,ALIANZA ALTERNATIVA RENOVADORA FEDERAL,ALTERNATIVA RENOVADORA FEDERAL,ALTERNATIVA RENOVADORA FEDERAL,502,,Chaco,Diputados Nacionales,102,DN6,6,20000,0
503A,12,uniDad,uniDad,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Chaco,Diputados Nacionales,103,DN6,6,20000,0
503B,13,sumamos,sumamos,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Chaco,Diputados Nacionales,104,DN6,6,20000,0
504,14,Lista consenso para el futuro,Lista consenso para el futuro,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Chaco,Diputados Nacionales,105,DN6,6,20000,0
33,1,"valores, familia y vida","valores, familia y vida",UNIR,UNIR,33,,Chaco,Senadores Nacionales,106,SN6,6,20000,0
71,2,UNIDAD,UNIDAD,PARTIDO DEL OBRERO,PARTIDO DEL OBRERO,71,,Chaco,Senadores Nacionales,107,SN6,6,20000,0
156,3,a - celeste,a - celeste,ACCION CHAQUEÑA,ACCION CHAQUEÑA,156,,Chaco,Senadores Nacionales,108,SN6,6,20000,0
179,4,LISTA CELESTE Y BLANCA,LISTA CELESTE Y BLANCA,CIUDADANOS A GOBERNAR,CIUDADANOS A GOBERNAR,179,,Chaco,Senadores Nacionales,109,SN6,6,20000,0
180,5,VERDE A,VERDE A,PARTIDO PROYECTO SUR CHACO,PARTIDO PROYECTO SUR CHACO,180,,Chaco,Senadores Nacionales,110,SN6,6,20000,0
501R,6,17 DE OCTUBRE,17 DE OCTUBRE,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Senadores Nacionales,111,SN6,6,20000,0
501O,7,CELESTE Y BLANCA,CELESTE Y BLANCA,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Senadores Nacionales,112,SN6,6,20000,0
501P,8,frente patriotico,frente patriotico,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Senadores Nacionales,113,SN6,6,20000,0
501F,9,sinceramente peronista,sinceramente peronista,FRENTE DE TODOS,FRENTE DE TODOS,501,#00A8E4,Chaco,Senadores Nacionales,114,SN6,6,20000,0
502,10,ALIANZA ALTERNATIVA RENOVADORA FEDERAL,ALIANZA ALTERNATIVA RENOVADORA FEDERAL,ALTERNATIVA RENOVADORA FEDERAL,ALTERNATIVA RENOVADORA FEDERAL,502,,Chaco,Senadores Nacionales,115,SN6,6,20000,0
503A,11,Unidad,Unidad,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Chaco,Senadores Nacionales,116,SN6,6,20000,0
503B,12,sumamos,sumamos,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Chaco,Senadores Nacionales,117,SN6,6,20000,0
504,13,unidad,unidad,CONSENSO FEDERAL,CONSENSO FEDERAL,504,#031F73,Chaco,Senadores Nacionales,118,SN6,6,20000,0
504,1,unidad,unidad,FRENTE DE IZQUIERDA,FRENTE DE IZQUIERDA,504,,Chubut,Diputados Nacionales,119,DN7,7,20000,0
503A,2,proyecto chubut,proyecto chubut,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Chubut,Diputados Nacionales,120,DN7,7,20000,0
503B,3,juntos somos el cambio chubut,juntos somos el cambio chubut,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,503,#FFCD00,Chubut,Diputados Nacionales,121,DN7,7,20000,0
501,4,CELESTE Y BLANCA,CELESTE Y BLANCA,frente de todos,frente de todos,501,#00A8E4,Chubut,Diputados Nacionales,122,DN7,7,20000,0
152,5,CONSENSO PARA EL FUTURO,CONSENSO PARA EL FUTURO,MOVIMIENTO POLO SOCIAL,MOVIMIENTO POLO SOCIAL,152,,Chubut,Diputados Nacionales,123,DN7,7,20000,0
151,6,SUMEMOS,SUMEMOS,PARTIDO INDEPENDIENTE DE CHUBUT,PARTIDO INDEPENDIENTE DE CHUBUT,151,,Chubut,Diputados Nacionales,124,DN7,7,20000,0
502A,7,porsiemprechubut,porsiemprechubut,CHUBUT AL FRENTE,CHUBUT AL FRENTE,502,,Chubut,Diputados Nacionales,125,DN7,7,20000,0
502B,8,la militancia al frente,la militancia al frente,CHUBUT AL FRENTE,CHUBUT AL FRENTE,502,,Chubut,Diputados Nacionales,126,DN7,7,20000,0
13,1,13 1 A - Unidad de la izquierda,13 1 A - Unidad de la izquierda,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO,13,,Entre Ríos,Diputados Nacionales,127,DN8,8,20000,0
68,2,68 UNIDAD A,68 UNIDAD A,nueva izquierda,nueva izquierda,68,,Entre Ríos,Diputados Nacionales,128,DN8,8,20000,0
502A,3,502A FUTURO ENTRERRIANO,502A FUTURO ENTRERRIANO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,502,#FFCD00,Entre Ríos,Diputados Nacionales,129,DN8,8,20000,0
502B,4,502B DEFENSORES DEL CAMBIO,502B DEFENSORES DEL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,502,#FFCD00,Entre Ríos,Diputados Nacionales,130,DN8,8,20000,0
502C,5,502C JUNTOS SOMOS EL CAMBIO,502C JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,502,#FFCD00,Entre Ríos,Diputados Nacionales,131,DN8,8,20000,0
501,6,501A CELESTE Y BLANCA,501A CELESTE Y BLANCA,frente de todos,frente de todos,501,#00A8E4,Entre Ríos,Diputados Nacionales,132,DN8,8,20000,0
50A,7,50A - Consenso Federal,50A - Consenso Federal,PARTIDO SOCIALISTA,PARTIDO SOCIALISTA,50,,Entre Ríos,Diputados Nacionales,133,DN8,8,20000,0
50B,8,50B - Consenso Federal,50B - Consenso Federal,PARTIDO SOCIALISTA,PARTIDO SOCIALISTA,50,,Entre Ríos,Diputados Nacionales,134,DN8,8,20000,0
13,1,13 1 A - Unidad de la izquierda,13 1 A - Unidad de la izquierda,MOVIMIENTO AL SOCIALISMO,MOVIMIENTO AL SOCIALISMO,13,,Entre Ríos,Senadores Nacionales,135,SN8,8,20000,0
68,2,68 UNIDAD A,68 UNIDAD A,nueva izquierda,nueva izquierda,68,,Entre Ríos,Senadores Nacionales,136,SN8,8,20000,0
502A,3,502A FUTURO ENTRERRIANO,502A FUTURO ENTRERRIANO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,502,#FFCD00,Entre Ríos,Senadores Nacionales,137,SN8,8,20000,0
502B,4,502B DEFENSORES DEL CAMBIO,502B DEFENSORES DEL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,502,#FFCD00,Entre Ríos,Senadores Nacionales,138,SN8,8,20000,0
502C,5,502C JUNTOS SOMOS EL CAMBIO,502C JUNTOS SOMOS EL CAMBIO,JUNTOS POR EL CAMBIO,JUNTOS POR EL CAMBIO,502,#FFCD00,Entre Ríos,Senadores Nacionales,139,SN8,8,20000,0
501,6,501A CELESTE Y BLANCA,501A CELESTE Y BLANCA,frente de todos,frente de todos,501,#00A8E4,Entre Ríos,Senadores Nacionales,140,SN8,8,20000,0
50A,7,50A - Consenso Federal,50A - Consenso Federal,PARTIDO SOCIALISTA,PARTIDO SOCIALISTA,50,,Entre Ríos,Senadores Nacionales,141,SN8,8,20000,0
50B,8,50B - Consenso Federal,50B - Consenso Federal,PARTIDO SOCIALISTA,PARTIDO SOCIALISTA,50,,Entre Ríos,Senadores Nacionales,142,SN8,8,20000,0
231A,1,UNIDAD,UNIDAD,Movimiento Socialista de los Trabajadores,Movimiento Socialista de los Trabajadores,38,,Formosa,Diputados Nacionales,143,DN9,9,20000,0
501A,2,celeste y blanca,celeste y blanca,frente de todos,frente de todos,501,#00A8E4,Formosa,Diputados Nacionales,144,DN9,9,20000,0
502A,3,Consenso para el futuro,Consenso para el futuro,CONSENSO FEDERAL,CONSENSO FEDERAL,502,#031F73,Formosa,Diputados Nacionales,145,DN9,9,20000,0
503A,4,JUNTOS POR LA INTEGRACION Y EL DESARROLLO (A),JUNTOS POR LA INTEGRACION Y EL DESARROLLO (A),FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,503,,Formosa,Diputados Nacionales,146,DN9,9,20000,0
503B,5,JUNTOS SOMOS EL CAMBIO (B),JUNTOS SOMOS EL CAMBIO (B),FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,503,,Formosa,Diputados Nacionales,147,DN9,9,20000,0
503C,6,vamos juntos (C),vamos juntos (C),FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,FRENTE AMPLIO FORMOSEÑO JUNTOS POR EL CAMBIO,503,,Formosa,Diputados Nacionales,148,DN9,9,20000,0
33,1,LISTA A UNIR MI JUJUY,LISTA A UNIR MI JUJUY,unir,unir,33,,Jujuy,Diputados Nacionales,149,DN10,10,20000,0
501B,2,b - arriba jujuy,b - arriba jujuy,frente de todos,frente de todos,501,#00A8E4,Jujuy,Diputados Nacionales,150,DN10,10,20000,0
501E,3,E- para volver a tener futuro,E- para volver a tener futuro,frente de todos,frente de todos,501,#00A8E4,Jujuy,Diputados Nacionales,151,DN10,10,20000,0
501F,4,F- CELESTE Y BLANCO DE LOS TRABAJADORES,F- CELESTE Y BLANCO DE LOS TRABAJADORES,frente de todos,frente de todos,501,#00A8E4,Jujuy,Diputados Nacionales,152,DN10,10,20000,0
502,5,cambia jujuy,cambia jujuy,juntos por el cambio,juntos por el cambio,502,#FFCD00,Jujuy,Diputados Nacionales,153,DN10,10,20000,0
