DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
GENERAL PUEYRREDON,INSTITUTO SUB DOCENT P DE ANCHORENA,RODRIGUEZ PEÑA 4856 E FRANCIA Y DON BOSC,9030,9032,0366A
GENERAL RODRIGUEZ,ESCUELA EP N°11,AYUB KHAN Y MANUELA GOMEZ Y BARRIO PARQUE YRIGOYEN,9001,9008,374
GENERAL SAN MARTIN,INSTITUTO SUP.FORM.DTE. N°113,COCHABAMBA 2300,9001,9005,376
GENERAL SAN MARTIN,CLUB SOCIAL Y DEPORTIVO LAS HERAS,LIBERTAD 5052 E/ GRAL PAZ Y LAVALLE,9006,9008,377
GENERAL SAN MARTIN,CLUB DEPORTIVO SAN ANDRES,INT. CASARES 2845 E/ ALEM Y MARENGO,9009,9011,378
GENERAL SAN MARTIN,CLUB FLECHA DEL PLATA,SANTA ROSALIA N° 1465 E/ MERCEDES Y DORREGO,9012,9015,378
GENERAL SAN MARTIN,ESCUELA DE ARTES VISUALES A.BERNI,TUCUMAN 130 E/ RIVADAVIA Y PUEYRREDON,9016,9018,376
GENERAL SAN MARTIN,COLEGIO INMACULADA CONCEPCION,RIVADAVIA 7201 E/ MARQUEZ Y ELFLEIN,9019,9025,381
GENERAL SAN MARTIN,C.R.E.I.,BOLIVIA N° 4336 E/ ODONELL Y LA PAZ,9026,9027,383
GENERAL SAN MARTIN,ESCUELA ES N°29,MISIONES N° 3680 E/ LARRALDE Y JUJUY,9028,9028,383
GENERAL SAN MARTIN,JARDIN DE INFANTES N°916,BELGRANO N° 5460 E/ CUBA Y CASEROS,9029,9030,384
GENERAL SAN MARTIN,INSTITUTO SAN ANTONIO DE PADUA,CALLE 71 N° 7201 ,9031,9035,381
GENERAL SAN MARTIN,COLEGIO INMACULADA CONCEPCION,RIVADAVIA 7201 E/ MARQUEZ Y ELFLEIN,9036,9040,381
GENERAL SAN MARTIN,JARDIN DE INFANTES N°902,CAPDEVILA N° 5905 E/ SIMON Y CABRAL,9041,9047,0377A
GENERAL VIAMONTE,ESCUELA EST N°1,AV. SAN MARTIN N° 1655,9001,9001,404
GENERAL VILLEGAS,MUNICIPALIDAD DE GRAL. VILLEGA,PRINGLES 351,9001,9001,411
GUAMINI,ESCUELA EP N°31/ES N°6,CNO.CIRCUNVALAC.J.D.PERON. CASBAS,9001,9001,431
HIPOLITO YRIGOYEN,MUNICIPALIDAD H. IRIGOYEN,MORENO 443,9001,9001,742
HURLINGHAM,ESCUELA EP. NRO 30,ANDONAEGUI 2295 ENTRE TORELLO Y ASAMBLEA,9001,9009,0668A
HURLINGHAM,COLEGIO CARDENAL STEPINAC,P. DIAZ NRO 2000 ENTRE LOS TRONCOS Y HAY,9010,9014,0668B
ITUZAINGO,INSTITUTO GRAL SAN MARTIN EP,DEL SALVADOR NRO 1136 E/ MONROE Y HOLANDA,9001,9006,666
ITUZAINGO,ESCUELA ESP NRO 501,HAITI 1368 ENTRE THORNE Y EUROPA,9007,9011,667
JOSE C. PAZ,ESCUELA EP. NRO 19,COLON 4209 ENTRE DEFENSA Y EL MAESTRO,9001,9010,398
JOSE C. PAZ,ESCUELA ESPECIAL NRO 10,M CANE Y CHILE 2000 E/ R. S. PEÑA Y GELLY OBES,9011,9020,398
JUNIN,ESCUELA ES N°7,INT. BORCHEX 119,9001,9001,444
LA MATANZA,ESCUELA  EP N°153/ES N°174,BOUCHARD N° 2475,9001,9007,626
LA MATANZA,JARDIN DE INFANTES MUN.N 19,RAMON FALCON 3460,9008,9011,626
