escuela,direccion,barrio,seccion_nro,seccion_name,circuito_nro,circuito_name,cant_mesas,desde,hasta,electores,ciudad,provincia,pais,geo,Latitud,Longitud,Encontrado,Calidad,Origen
ESC REPUBLICA DEL URUGUAY,SAN LUIS 342,,13,RIO CUARTO,165,BANDA NORTE,6,5824,5829,2076,BANDA NORTE,Córdoba,Argentina,"SAN LUIS 342, BANDA NORTE, Córdoba, Argentina",,,,No Match,Google
IPEM N°95 M SANCHEZ DE THOMPSO,MANCO CAPAC 50,,13,RIO CUARTO,165,BANDA NORTE,14,5830,5843,4830,BANDA NORTE,Córdoba,Argentina,"MANCO CAPAC 50, BANDA NORTE, Córdoba, Argentina",,,,No Match,Google
CNMA 24-ANEXO PCIA STA CRUZ,EL SALVADOR 840,B° BALACCO,13,RIO CUARTO,165,BANDA NORTE,3,5844,5846,1035,BANDA NORTE,Córdoba,Argentina,"EL SALVADOR 840, BANDA NORTE, Córdoba, Argentina",,,,No Match,Google
ESC.FRAY M.ALVAREZ,SARMIENTO 187,,13,RIO CUARTO,167,BULNES,4,5866,5869,1056,BULNES,Córdoba,Argentina,"SARMIENTO 187, BULNES, Córdoba, Argentina",,,,No Match,Google
INST SEC LA ASUNCION DE MARIA,PASAJE CURA BROCHERO 189,,13,RIO CUARTO,170,ELENA,5,5875,5879,1607,ELENA,Córdoba,Argentina,"PASAJE CURA BROCHERO 189, ELENA, Córdoba, Argentina",,,,No Match,Google
ESC PROV JOSE DE SAN MARTIN,PUBLICA S/N,,13,RIO CUARTO,175,LA GILDA,1,5905,5905,80,LA GILDA,Córdoba,Argentina,"PUBLICA S/N, LA GILDA, Córdoba, Argentina",,,,No Match,Google
ESC LEONILA DE LAS M LEMOS,MAIPU NORTE 535,,13,RIO CUARTO,177,LAS ACEQUIAS,8,5907,5914,2638,LAS ACEQUIAS,Córdoba,Argentina,"MAIPU NORTE 535, LAS ACEQUIAS, Córdoba, Argentina",,,,No Match,Google
ESC.C.G. DE REZZANO,CALLE 11,,13,RIO CUARTO,178A,LAS ALBAHACAS,2,5916,5917,463,LAS ALBAHACAS,Córdoba,Argentina,"CALLE 11, LAS ALBAHACAS, Córdoba, Argentina",,,,No Match,Google
ESC.ALBERGUE J.HERNANDEZ,PUBLICA,,13,RIO CUARTO,178B,VILLA EL CHACAY,1,5918,5918,137,VILLA EL CHACAY,Córdoba,Argentina,"PUBLICA, VILLA EL CHACAY, Córdoba, Argentina",,,,No Match,Google
I.P.E.A Y T.N°186-,CARLOS GARDEL Y CAPITAN CASTAGNARI,,13,RIO CUARTO,179,LAS HIGUERAS,4,5936,5939,1331,LAS HIGUERAS,Córdoba,Argentina,"CARLOS GARDEL Y CAPITAN CASTAGNARI, LAS HIGUERAS, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.M.PAZ,AVDA. 22 DE OCTUBRE,,13,RIO CUARTO,180,LAS PEÑAS,1,5940,5940,206,LAS PEÑAS,Córdoba,Argentina,"AVDA. 22 DE OCTUBRE, LAS PEÑAS, Córdoba, Argentina",,,,No Match,Google
ESC ANTONIO SOBRAL,PUBLICA S/N,,13,RIO CUARTO,181,LOS CUATRO VIENTOS,1,5941,5941,175,LOS CUATRO VIENTOS,Córdoba,Argentina,"PUBLICA S/N, LOS CUATRO VIENTOS, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.M.BELGRANO,SARMIENTO,,13,RIO CUARTO,184A,MONTE DE LOS GAUCHOS,3,5997,5999,717,MONTE DE LOS GAUCHOS,Córdoba,Argentina,"SARMIENTO, MONTE DE LOS GAUCHOS, Córdoba, Argentina",,,,No Match,Google
ESC NICOLAS AVELLANEDA,VICENTE LOPEZ 538,,13,RIO CUARTO,186,PUEBLO ALBERDI,13,6001,6013,4485,PUEBLO ALBERDI,Córdoba,Argentina,"VICENTE LOPEZ 538, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
IPEMN° 26 JUAN FILLOY,BELISARIO ROLDAN 535,,13,RIO CUARTO,186,PUEBLO ALBERDI,10,6014,6023,3450,PUEBLO ALBERDI,Córdoba,Argentina,"BELISARIO ROLDAN 535, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
COLEGIO MARIA BENITA ARIAS,MONTEVIDEO 751,,13,RIO CUARTO,186,PUEBLO ALBERDI,10,6024,6033,3450,PUEBLO ALBERDI,Córdoba,Argentina,"MONTEVIDEO 751, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
ESC GRAL JUSTO S ANAYA,AZOPARDO 1270,FENIX,13,RIO CUARTO,186,PUEBLO ALBERDI,15,6034,6048,5175,PUEBLO ALBERDI,Córdoba,Argentina,"AZOPARDO 1270, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
INST LANTERIANO LA MERCED,BELISARIO ROLDAN 275,,13,RIO CUARTO,186,PUEBLO ALBERDI,18,6049,6066,6204,PUEBLO ALBERDI,Córdoba,Argentina,"BELISARIO ROLDAN 275, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
ESC ARZOBISPO ANTONIO ESPINOSA,OLEGARIO ANDRADE 1020,,13,RIO CUARTO,186,PUEBLO ALBERDI,11,6067,6077,3784,PUEBLO ALBERDI,Córdoba,Argentina,"OLEGARIO ANDRADE 1020, PUEBLO ALBERDI, Córdoba, Argentina",,,,No Match,Google
INSTITUTO LA CONSOLATA,HIPOLITO IRIGOYEN 482,,13,RIO CUARTO,189,SAMPACHO,7,6301,6307,2395,SAMPACHO,Córdoba,Argentina,"HIPOLITO IRIGOYEN 482, SAMPACHO, Córdoba, Argentina",,,,No Match,Google
ESC.SAN JUAN BOSCO,PUBLICA,,13,RIO CUARTO,190,SAN AMBROSIO,1,6323,6323,125,SAN AMBROSIO,Córdoba,Argentina,"PUBLICA, SAN AMBROSIO, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.R.E.DE SAN MARTIN,REMEDIOS ESCALADA DE SAN MARTIN,,13,RIO CUARTO,191A,MALENA,1,6334,6334,318,MALENA,Córdoba,Argentina,"REMEDIOS ESCALADA DE SAN MARTIN, MALENA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.M.ESTRADA,AVELLANEDA 181,,13,RIO CUARTO,193,TOSQUITA,2,6337,6338,552,TOSQUITA,Córdoba,Argentina,"AVELLANEDA 181, TOSQUITA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.DE SAN MARTIN,PUBLICA S/N,,14,RIO PRIMERO,195,ATAHONA,1,6341,6341,165,ATAHONA,Córdoba,Argentina,"PUBLICA S/N, ATAHONA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.M.MORENO,CALLE 12,,14,RIO PRIMERO,196,CAÑADA DE MACHADO,1,6342,6342,219,CAÑADA DE MACHADO,Córdoba,Argentina,"CALLE 12, CAÑADA DE MACHADO, Córdoba, Argentina",,,,No Match,Google
ESC PROV JOAQUIN V GONZALEZ,JOAQUIN V GONZALEZ S/N,,14,RIO PRIMERO,197,LA POSTA,1,6343,6343,345,LA POSTA,Córdoba,Argentina,"JOAQUIN V GONZALEZ S/N, LA POSTA, Córdoba, Argentina",,,,No Match,Google
ESC PROV MARTIN GUEMES,MARTIN GUEMES S/N,,14,RIO PRIMERO,198,CAPILLA DE REMEDIOS,4,6344,6347,1075,CAPILLA DE REMEDIOS,Córdoba,Argentina,"MARTIN GUEMES S/N, CAPILLA DE REMEDIOS, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.M.PAZ,PUBLICA,,14,RIO PRIMERO,209,MAQUINISTA GALLINI,1,6377,6377,164,MAQUINISTA GALLINI,Córdoba,Argentina,"PUBLICA, MAQUINISTA GALLINI, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.M.PAZ,PUBLICA,,14,RIO PRIMERO,212,MONTE DEL ROSARIO,1,6409,6409,131,MONTE DEL ROSARIO,Córdoba,Argentina,"PUBLICA, MONTE DEL ROSARIO, Córdoba, Argentina",,,,No Match,Google
ESC PROV DOMINGO F SARMIENTO,PUBLICA S/N,,14,RIO PRIMERO,212B,EL CRISPIN,1,6410,6410,268,EL CRISPIN,Córdoba,Argentina,"PUBLICA S/N, EL CRISPIN, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.M.BELGRANO,CHACON DE CUESTAS,,14,RIO PRIMERO,215,PLAZA DE MERCEDES,1,6424,6424,126,PLAZA DE MERCEDES,Córdoba,Argentina,"CHACON DE CUESTAS, PLAZA DE MERCEDES, Córdoba, Argentina",,,,No Match,Google
ESC PROV JUAN JOSE PASO,PUBLICA S/N,,14,RIO PRIMERO,215A,LA QUINTA,1,6425,6425,229,LA QUINTA,Córdoba,Argentina,"PUBLICA S/N, LA QUINTA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.GRAL SAN MARTIN,PUBLICA,,14,RIO PRIMERO,216,PUNTA DEL AGUA,1,6426,6426,37,PUNTA DEL AGUA,Córdoba,Argentina,"PUBLICA, PUNTA DEL AGUA, Córdoba, Argentina",,,,No Match,Google
ESC GRAL JOSE DE SAN MARTIN,CORRIENTES   LUCHI 251,,14,RIO PRIMERO,218,RIO PRIMERO,8,6436,6443,2654,RIO PRIMERO,Córdoba,Argentina,"CORRIENTES   LUCHI 251, RIO PRIMERO, Córdoba, Argentina",,,,No Match,Google
INST DEL SANTISIMO ROSARIO,SAN MARTIN 756,,14,RIO PRIMERO,220,VILLA SANTA ROSA,7,6450,6456,2380,VILLA SANTA ROSA,Córdoba,Argentina,"SAN MARTIN 756, VILLA SANTA ROSA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.C.SAAVEDRA,PUBLICA,,15,RIO SECO,223,CANDELARIA NORTE,3,6476,6478,825,CANDELARIA NORTE,Córdoba,Argentina,"PUBLICA, CANDELARIA NORTE, Córdoba, Argentina",,,,No Match,Google
ESC GRAL SAN MARTIN,PUBLICA S/N,,15,RIO SECO,225,GUTEMBERG,3,6480,6482,898,GUTEMBERG,Córdoba,Argentina,"PUBLICA S/N, GUTEMBERG, Córdoba, Argentina",,,,No Match,Google
ESC PRO MARTIN GUEMES,PUBLICA S/N,,15,RIO SECO,226,LOS HOYOS,2,6484,6485,447,LOS HOYOS,Córdoba,Argentina,"PUBLICA S/N, LOS HOYOS, Córdoba, Argentina",,,,No Match,Google
ESC PROV GUILLERMO BROWN,PUBLICA S/N,,15,RIO SECO,227A,RINCONADA,2,6491,6492,463,RINCONADA,Córdoba,Argentina,"PUBLICA S/N, RINCONADA, Córdoba, Argentina",,,,No Match,Google
ESC PROV G MARTINEZ PIZARRO,PUBLICA S/N,,15,RIO SECO,227C,CHAÑAR VIEJO,1,6495,6495,204,CHAÑAR VIEJO,Córdoba,Argentina,"PUBLICA S/N, CHAÑAR VIEJO, Córdoba, Argentina",,,,No Match,Google
ESC PROV ING FEDERICO NEHHER,PUBLICA S/N,,15,RIO SECO,227D,SANTA ELENA,2,6496,6497,350,SANTA ELENA,Córdoba,Argentina,"PUBLICA S/N, SANTA ELENA, Córdoba, Argentina",,,,No Match,Google
ESC PROV LEOPOLDO LUGONES,SANTIAGO DEL ESTERO S/N,,15,RIO SECO,229A,EUFRASIO LOZA,1,6521,6521,205,EUFRASIO LOZA,Córdoba,Argentina,"SANTIAGO DEL ESTERO S/N, EUFRASIO LOZA, Córdoba, Argentina",,,,No Match,Google
ESCUELA NARCISO LAPRIDA,GRAL JOSE DE SAN MARTIN S/N,,16,RIO SEGUNDO,231,CAPILLA DEL CARMEN,2,6531,6532,391,CAPILLA DEL CARMEN,Córdoba,Argentina,"GRAL JOSE DE SAN MARTIN S/N, CAPILLA DEL CARMEN, Córdoba, Argentina",,,,No Match,Google
ESC PROV SEMANA DE MAYO,ADALGISA 427,,16,RIO SEGUNDO,233,COLAZO,4,6538,6541,1377,COLAZO,Córdoba,Argentina,"ADALGISA 427, COLAZO, Córdoba, Argentina",,,,No Match,Google
ESC LIB GRAL SAN MARTIN,PUBLICA S/N,,16,RIO SEGUNDO,234,COSTA SACATE,4,6542,6545,1386,COSTA SACATE,Córdoba,Argentina,"PUBLICA S/N, COSTA SACATE, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.D.F.SARMIENTO,PUBLICA,,16,RIO SEGUNDO,236A,COLONIA VIDELA,1,6571,6571,47,COLONIA VIDELA,Córdoba,Argentina,"PUBLICA, COLONIA VIDELA, Córdoba, Argentina",,,,No Match,Google
ESC PROV JERONIMO L DE CABRERA,PUBLICA S/N-IMPIRA,,16,RIO SEGUNDO,237B,PUEBLO LUDUEÑA,1,6592,6592,197,PUEBLO LUDUEÑA,Córdoba,Argentina,"PUBLICA S/N-IMPIRA, PUEBLO LUDUEÑA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.D.F.SARMIENTO,CORRIENTES 237,,16,RIO SEGUNDO,238,MATORRALES,3,6593,6595,973,MATORRALES,Córdoba,Argentina,"CORRIENTES 237, MATORRALES, Córdoba, Argentina",,,,No Match,Google
ESC PROV ESTANISLAO DEL CAMPO,PUBLICA S/N,,16,RIO SEGUNDO,244A,LOS CHAÑARITOS,1,6751,6751,292,LOS CHAÑARITOS,Córdoba,Argentina,"PUBLICA S/N, LOS CHAÑARITOS, Córdoba, Argentina",,,,No Match,Google
ESC LEONOR DE TEJEDA,AV PELLEGRINI(B°LA CHACARITA) 247,,17,ROQUE SAENZ PEÑA,248,LABOULAYE,6,6810,6815,2076,LABOULAYE,Córdoba,Argentina,"AV PELLEGRINI(B°LA CHACARITA) 247, LABOULAYE, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.L.PASTEUR,PUBLICA,,17,ROQUE SAENZ PEÑA,253,MELO,4,6865,6868,1150,MELO,Córdoba,Argentina,"PUBLICA, MELO, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.M.DE AZCUENAGA,PUBLICA,,18,SAN ALBERTO,259,ALTAUTINA,1,6884,6884,19,ALTAUTINA,Córdoba,Argentina,"PUBLICA, ALTAUTINA, Córdoba, Argentina",,,,No Match,Google
ESC PROV JUAN P PRINGLES,PUBLICA S/N,,18,SAN ALBERTO,260A,EL VOLCAN,1,6888,6888,37,EL VOLCAN,Córdoba,Argentina,"PUBLICA S/N, EL VOLCAN, Córdoba, Argentina",,,,No Match,Google
INST TRANSITO DE MARIA,IRINEO ALTAMIRANO 60,,18,SAN ALBERTO,261,BROCHERO,4,6903,6906,1328,BROCHERO,Córdoba,Argentina,"IRINEO ALTAMIRANO 60, BROCHERO, Córdoba, Argentina",,,,No Match,Google
ESC PROV JUAN MARTIN RECALDE,PUBLICA S/N,,18,SAN ALBERTO,261A,SAN LORENZO,4,6907,6910,1053,SAN LORENZO,Córdoba,Argentina,"PUBLICA S/N, SAN LORENZO, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.GUIDO SPANO,PUBLICA,,18,SAN ALBERTO,261B,VILLA BENEGAS,1,6911,6911,48,VILLA BENEGAS,Córdoba,Argentina,"PUBLICA, VILLA BENEGAS, Córdoba, Argentina",,,,No Match,Google
ESC MAESTRO D F SARMIENTO,AV HERNAN CORTEZ 1060,B°MAYTHE,18,SAN ALBERTO,262,MINA CLAVERO,6,6922,6927,2034,MINA CLAVERO,Córdoba,Argentina,"AV HERNAN CORTEZ 1060, MINA CLAVERO, Córdoba, Argentina",,,,No Match,Google
IPEM 135-DON JOSE F RECALDE,LOS PORTEÑOS y CALLE PUBLICA,,18,SAN ALBERTO,263,NONO,3,6943,6945,922,NONO,Córdoba,Argentina,"LOS PORTEÑOS y CALLE PUBLICA, NONO, Córdoba, Argentina",,,,No Match,Google
ESC J V LOPEZ(EX-NAC N°493),RUTA N°14 Y ESMERALDA,,18,SAN ALBERTO,263C,ARROYO DE LOS PATOS,3,6948,6950,713,ARROYO DE LOS PATOS,Córdoba,Argentina,"RUTA N°14 Y ESMERALDA, ARROYO DE LOS PATOS, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.M.BELGRANO,RUTA NAC 14,,18,SAN ALBERTO,263E,LAS RABONAS,3,6953,6955,779,LAS RABONAS,Córdoba,Argentina,"RUTA NAC 14, LAS RABONAS, Córdoba, Argentina",,,,No Match,Google
ESC.P.PIZZURNO,PUBLICA,,18,SAN ALBERTO,264,PANAHOLMA,2,6956,6957,399,PANAHOLMA,Córdoba,Argentina,"PUBLICA, PANAHOLMA, Córdoba, Argentina",,,,No Match,Google
INST. AGROTECNICO STELLA MARIS,JUAN PABLO II-RUTA CNO CHANCANI,,18,SAN ALBERTO,265,SAN PEDRO,5,6968,6972,1636,SAN PEDRO,Córdoba,Argentina,"JUAN PABLO II-RUTA CNO CHANCANI, SAN PEDRO, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.FRAY L.BELTRAN,PUBLICA,,18,SAN ALBERTO,265C,SAUCE ARRIBA,3,6988,6990,865,SAUCE ARRIBA,Córdoba,Argentina,"PUBLICA, SAUCE ARRIBA, Córdoba, Argentina",,,,No Match,Google
ESC PROV NARCISO LAPRIDA,PUBLICA S/N,,19,SAN JAVIER,267,CONLARA,2,6997,6998,430,CONLARA,Córdoba,Argentina,"PUBLICA S/N, CONLARA, Córdoba, Argentina",,,,No Match,Google
ESC GENERAL SAN MARTIN,EDISON 130,,19,SAN JAVIER,268,DOLORES,14,7034,7047,4802,DOLORES,Córdoba,Argentina,"EDISON 130, DOLORES, Córdoba, Argentina",,,,No Match,Google
COLEGIO SAGRADO CORAZON,HORMAECHE 375,,19,SAN JAVIER,268,DOLORES,9,7055,7063,3087,DOLORES,Córdoba,Argentina,"HORMAECHE 375, DOLORES, Córdoba, Argentina",,,,No Match,Google
ESC PROV JOSE M PAZ,VELEZ SARSFIELD Y BRAULIO FUNES,,19,SAN JAVIER,269,LA PAZ,5,7085,7089,1700,LA PAZ,Córdoba,Argentina,"VELEZ SARSFIELD Y BRAULIO FUNES, LA PAZ, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.M.ESTRADA,PUBLICA,,19,SAN JAVIER,269A,QUEBRACHO LADEADO,2,7090,7091,398,QUEBRACHO LADEADO,Córdoba,Argentina,"PUBLICA, QUEBRACHO LADEADO, Córdoba, Argentina",,,,No Match,Google
ESCUELA PROVINCIAL,PUBLICA S/N,,19,SAN JAVIER,274A,LA POBLACION,2,7123,7124,503,LA POBLACION,Córdoba,Argentina,"PUBLICA S/N, LA POBLACION, Córdoba, Argentina",,,,No Match,Google
ESC PROV ALTE GUILLERMO BROWN,ALICIA ROSSI 441,,20,SAN JUSTO,279A,EL FUERTECITO,2,7217,7218,375,EL FUERTECITO,Córdoba,Argentina,"ALICIA ROSSI 441, EL FUERTECITO, Córdoba, Argentina",,,,No Match,Google
ESCUELA N°349 (ESC JUAN BEIRO),BEIRO,,20,SAN JUSTO,281,BEIRO,1,7236,7236,192,BEIRO,Córdoba,Argentina,"BEIRO, BEIRO, Córdoba, Argentina",,,,No Match,Google
IPETIN 262 BELISARIO ROLDAN,DR PITT FUNES 547,B°BERTOSSI,20,SAN JUSTO,282,BRINKMANN,9,7254,7262,3030,BRINKMANN,Córdoba,Argentina,"DR PITT FUNES 547, BRINKMANN, Córdoba, Argentina",,,,No Match,Google
ESC CONGRESO DE TUCUMAN,COLONIA PICHANAS,,20,SAN JUSTO,283A,COLONIA PICHANAS,1,7269,7269,182,COLONIA PICHANAS,Córdoba,Argentina,"COLONIA PICHANAS, COLONIA PICHANAS, Córdoba, Argentina",,,,No Match,Google
ESC PROV L DE LA TORRE,PUBLICA S/N,,20,SAN JUSTO,287,DOS HERMANOS,1,7288,7288,144,DOS HERMANOS,Córdoba,Argentina,"PUBLICA S/N, DOS HERMANOS, Córdoba, Argentina",,,,No Match,Google
ESCUELA PROV. ANTONIO SOBRAL,PUBLICA,,20,SAN JUSTO,288A,VILLA SAN ESTEBAN,1,7295,7295,194,VILLA SAN ESTEBAN,Córdoba,Argentina,"PUBLICA, VILLA SAN ESTEBAN, Córdoba, Argentina",,,,No Match,Google
ESC PROV RAMON J CARCANO,PUBLICA S/N,,20,SAN JUSTO,291A,COLONIA ANITA,1,7324,7324,78,COLONIA ANITA,Córdoba,Argentina,"PUBLICA S/N, COLONIA ANITA, Córdoba, Argentina",,,,No Match,Google
ESC PROV MARIANO MORENO,ALTE BROWN 231,,20,SAN JUSTO,294,LA PAQUITA,3,7337,7339,1018,LA PAQUITA,Córdoba,Argentina,"ALTE BROWN 231, LA PAQUITA, Córdoba, Argentina",,,,No Match,Google
ESC PROV NICOLAS AVELLANEDA,SARMIENTO S/N,,20,SAN JUSTO,294A,COLONIA VALTELINA,1,7340,7340,171,COLONIA VALTELINA,Córdoba,Argentina,"SARMIENTO S/N, COLONIA VALTELINA, Córdoba, Argentina",,,,No Match,Google
ESC.PROV.J.M.ESTRADA,PUBLICA,,20,SAN JUSTO,295A,TORO PUJIO,1,7346,7346,291,TORO PUJIO,Córdoba,Argentina,"PUBLICA, TORO PUJIO, Córdoba, Argentina",,,,No Match,Google
ESC BARTOLOME MITRE,SGTO CABRAL 521,,20,SAN JUSTO,298,LAS VARILLAS,10,7392,7401,3400,LAS VARILLAS,Córdoba,Argentina,"SGTO CABRAL 521, LAS VARILLAS, Córdoba, Argentina",,,,No Match,Google
ESC CONSTANCIO LUXARDO,PUBLICA S/N,,20,SAN JUSTO,299,LUXARDO,2,7402,7403,364,LUXARDO,Córdoba,Argentina,"PUBLICA S/N, LUXARDO, Córdoba, Argentina",,,,No Match,Google
ESC PROV GRAL SAN MARTIN,PUBLICA S/N,,20,SAN JUSTO,302,MAUNIER,1,7414,7414,134,MAUNIER,Córdoba,Argentina,"PUBLICA S/N, MAUNIER, Córdoba, Argentina",,,,No Match,Google
ESC PROV SANTIAGO DERQUI,JUAREZ CELMAN 357,,20,SAN JUSTO,306,PROSPERIDAD,2,7486,7487,548,PROSPERIDAD,Córdoba,Argentina,"JUAREZ CELMAN 357, PROSPERIDAD, Córdoba, Argentina",,,,No Match,Google
ESC PROV PRIMERA JUNTA,9 DE JULIO 576,,20,SAN JUSTO,309,SAN BARTOLOME,5,7499,7503,1728,SAN BARTOLOME,Córdoba,Argentina,"9 DE JULIO 576, SAN BARTOLOME, Córdoba, Argentina",,,,No Match,Google
ESC EMILIO F OLMOS (IPEM N°50),RIVADAVIA 679,,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,13,7504,7516,4511,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"RIVADAVIA 679, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
ESC GENERAL MITRE,SANTA FE 538,,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,10,7517,7526,3470,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"SANTA FE 538, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
COL SUP SAN MARTIN,PJE CHAMPAGNAT 57,SUR,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,13,7527,7539,4498,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"PJE CHAMPAGNAT 57, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
ESCUELA 2 DE ABRIL,FALUCHO Y PEATONAL LARREA N S/N,,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,10,7540,7549,3460,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"FALUCHO Y PEATONAL LARREA N S/N, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
ESCUELA RIO NEGRO,CASEROS 518,B°LA CONSOLATA,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,11,7550,7560,3806,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"CASEROS 518, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
ESCUELA N AVELLANEDA,RIVADAVIA 648,,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,16,7561,7576,5536,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"RIVADAVIA 648, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
ESCUELA RAFAEL NUÑEZ,PARAGUAY 1776,B°CATEDRAL,20,SAN JUSTO,310,SAN FRANCISCO SECC. SUR,9,7577,7585,3114,SAN FRANCISCO SECC. SUR,Córdoba,Argentina,"PARAGUAY 1776, SAN FRANCISCO SECC. SUR, Córdoba, Argentina",,,,No Match,Google
ESC JOSE BERRNARDO ITURRASPE,CABRERA 1736,B°GENERAL ROCA,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,17,7586,7602,5899,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"CABRERA 1736, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
ESC DOMINGO F SARMIENTO,ALMAFUERTE 104,B°ROCA,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,10,7603,7612,3470,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"ALMAFUERTE 104, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
COL SAN FCO DE ASIS,JUAN JOSE PASO 1650,B°VELEZ SARSFIELD,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,9,7613,7621,3115,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"JUAN JOSE PASO 1650, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
COLEGIO SAGRADO CORAZON,25 DE MAYO 1414,B°ITURRASPE,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,6,7622,7627,2076,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"25 DE MAYO 1414, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
ESCUELA PRIMERA JUNTA,ENTRE RIOS 2505,B°GENERAL ROCA,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,11,7628,7638,3806,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"ENTRE RIOS 2505, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
ESC PTE HIPOLITO IRIGOYEN,JUJUY 205,B°ITURRASPE,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,13,7639,7651,4498,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"JUJUY 205, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
ESC JOSE MARIA PAZ,REPUBLICA DEL LIBANO 1009,,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,12,7652,7663,4152,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"REPUBLICA DEL LIBANO 1009, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
INST PASCUAL BAILON SOSA,AV TRIGUEROS 151,B°INDEPENDENCIA,20,SAN JUSTO,310A,SAN FRANCISCO SECC. NORTE,3,7664,7666,1038,SAN FRANCISCO SECC. NORTE,Córdoba,Argentina,"AV TRIGUEROS 151, SAN FRANCISCO SECC. NORTE, Córdoba, Argentina",,,,No Match,Google
ESC VICTOR MERCANTE,ANATOLE FRANCE 360,B°CARLOS PELLEGRINI,21,SANTA MARIA,316,ALTA GRACIA,8,7695,7702,2760,ALTA GRACIA,Córdoba,Argentina,"ANATOLE FRANCE 360, ALTA GRACIA, Córdoba, Argentina",,,,No Match,Google
ESC REPUBLICA ITALIANA,COLEGIO 127 LALAHENES,,21,SANTA MARIA,316,ALTA GRACIA,8,7745,7752,2760,ALTA GRACIA,Córdoba,Argentina,"COLEGIO 127 LALAHENES, ALTA GRACIA, Córdoba, Argentina",,,,No Match,Google
