mesa,url_gob,id_ubicacion,id_publicacion,cant_mesas_procesadas,hora_proceso,clase_ubicacion,cant_votantes,cant_votos_positivos,porcentaje_mesas_procesadas,descripcion_ubicacion,Partido Unión Ciudadana,Vecinalismo Independiente,Movimiento Avanzada Socialista,MST - Nueva Izquierda,Córdoba Cambia,Frente de Izquierda y de los Trabajadores,Hacemos por Córdoba,Unión Cívica Radical,Unite por la Libertad y la Dignidad,Encuentro Vecinal Córdoba,Política Abierta para la Integridad Social (P.A.I.S.),Movimiento de Acción Vecinal,Movimiento Libres del Sur,Voto en BLANCO,Votos IMPUGNADOS,Votos NULOS,Votos RECURRIDOS,cargo,porcentaje_participacion,cant_votos_negativos
1773,https://datosoficiales.com.ar/resultados/CO/1/112/155/1773/INT.json,CO.1.112.155.1773,37,1,2019-05-12 21:40:01,Mesa,264,251,100.0,1773,1,0,1,7,69,7,82,48,0,15,1,0,9,11,0,13,0,INT,76.7441,13
1774,https://datosoficiales.com.ar/resultados/CO/1/112/155/1774/INT.json,CO.1.112.155.1774,60,1,2019-05-12 23:35:01,Mesa,261,247,100.0,1774,0,1,0,0,56,6,94,45,0,11,0,1,14,19,0,13,1,INT,76.0932,14
1775,https://datosoficiales.com.ar/resultados/CO/1/112/155/1775/INT.json,CO.1.112.155.1775,34,1,2019-05-12 21:25:01,Mesa,268,258,100.0,1775,0,1,0,6,64,10,94,45,0,17,0,1,5,15,0,10,0,INT,77.9069,10
1776,https://datosoficiales.com.ar/resultados/CO/1/112/155/1776/INT.json,CO.1.112.155.1776,51,1,2019-05-12 22:50:01,Mesa,261,249,100.0,1776,4,6,0,3,59,6,87,48,0,9,0,1,8,18,0,1,11,INT,75.2161,12
1777,https://datosoficiales.com.ar/resultados/CO/1/112/155/1777/INT.json,CO.1.112.155.1777,95,1,2019-05-13 02:30:01,Mesa,253,233,100.0,1777,1,1,0,8,65,8,79,43,0,11,0,2,3,12,0,11,9,INT,73.3333,20
1778,https://datosoficiales.com.ar/resultados/CO/1/112/155/1778/INT.json,CO.1.112.155.1778,60,1,2019-05-12 23:35:01,Mesa,292,279,100.0,1778,2,1,10,1,48,50,1,50,0,23,0,77,2,14,0,13,0,INT,85.3801,13
1779,https://datosoficiales.com.ar/resultados/CO/1/112/155/1779/INT.json,CO.1.112.155.1779,37,1,2019-05-12 21:40:01,Mesa,260,244,100.0,1779,2,3,0,3,59,8,90,45,0,9,0,1,9,15,0,16,0,INT,76.0233,16
1780,https://datosoficiales.com.ar/resultados/CO/1/112/155/1780/INT.json,CO.1.112.155.1780,97,1,2019-05-13 02:40:01,Mesa,263,258,100.0,1780,1,7,1,6,54,12,75,49,0,19,0,0,12,22,0,5,0,INT,76.6763,5
1781,https://datosoficiales.com.ar/resultados/CO/1/112/155/1781/INT.json,CO.1.112.155.1781,60,1,2019-05-12 23:35:01,Mesa,273,259,100.0,1781,0,2,1,7,51,10,102,44,1,18,0,1,13,9,0,6,8,INT,79.5918,14
1782,https://datosoficiales.com.ar/resultados/CO/1/112/155/1782/INT.json,CO.1.112.155.1782,64,1,2019-05-12 23:55:01,Mesa,275,266,100.0,1782,0,0,0,2,60,7,102,48,0,15,0,1,10,21,0,9,0,INT,80.1749,9
1783,https://datosoficiales.com.ar/resultados/CO/1/112/155/1783/INT.json,CO.1.112.155.1783,73,1,2019-05-13 00:40:01,Mesa,260,247,100.0,1783,0,0,0,5,51,8,78,67,0,12,1,0,8,17,1,5,7,INT,75.5813,13
1784,https://datosoficiales.com.ar/resultados/CO/1/112/155/1784/INT.json,CO.1.112.155.1784,37,1,2019-05-12 21:40:01,Mesa,257,247,100.0,1784,3,2,0,4,73,9,74,48,1,12,0,0,10,11,0,10,0,INT,75.5882,10
1785,https://datosoficiales.com.ar/resultados/CO/1/112/155/1785/INT.json,CO.1.112.155.1785,39,1,2019-05-12 21:50:01,Mesa,258,253,100.0,1785,2,2,2,6,72,10,82,42,0,9,0,1,9,16,0,5,0,INT,75.4385,5
